2026-08-08 13:32:27 | INFO     | req=- | main | Starting up: warming caches (embedding model, vector store)...
2026-08-08 13:32:30 | INFO     | req=- | main | Startup complete.
2026-08-08 13:32:40 | INFO     | req=024538a9 | main | --> GET /
2026-08-08 13:32:40 | INFO     | req=024538a9 | main | <-- GET / | status=404 | 0.00s
2026-08-08 13:32:48 | INFO     | req=f6098221 | main | --> GET /docs
2026-08-08 13:32:48 | INFO     | req=f6098221 | main | <-- GET /docs | status=200 | 0.00s
2026-08-08 13:32:50 | INFO     | req=ac3e754f | main | --> GET /openapi.json
2026-08-08 13:32:50 | INFO     | req=ac3e754f | main | <-- GET /openapi.json | status=200 | 0.05s
2026-08-08 13:33:40 | INFO     | req=cadd4e1f | main | --> GET /health
2026-08-08 13:33:40 | INFO     | req=cadd4e1f | main | <-- GET /health | status=200 | 0.01s
2026-08-08 13:33:43 | INFO     | req=84d69b7e | main | --> GET /health
2026-08-08 13:33:43 | INFO     | req=84d69b7e | main | <-- GET /health | status=200 | 0.01s
2026-08-08 13:34:44 | INFO     | req=60b6f237 | main | --> POST /ask
2026-08-08 13:34:54 | INFO     | req=60b6f237 | pipeline | generate_and_execute start | query='count of all zipcode' | seed_tables=['customers', 'order_payments', 'order_reviews', 'orders', 'sellers'] | expanded_tables=['customers', 'order_items', 'order_payments', 'order_reviews', 'orders', 'sellers']
2026-08-08 13:34:55 | INFO     | req=60b6f237 | pipeline | generate_and_execute succeeded | attempt=1/2 | rows=1
2026-08-08 13:35:00 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: Transformers model Isotonic/deberta-v3-base_finetuned_ai4privacy_v2
2026-08-08 13:35:01 | WARNING  | req=60b6f237 | presidio-analyzer | model_to_presidio_entity_mapping is missing from configuration, using default
2026-08-08 13:35:01 | WARNING  | req=60b6f237 | presidio-analyzer | low_score_entity_names is missing from configuration, using default
2026-08-08 13:35:01 | WARNING  | req=60b6f237 | presidio-analyzer | labels_to_ignore is missing from configuration, using default
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Created NLP engine: spacy. Loaded models: ['en', 'zh']
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: CreditCardRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: CreditCardRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: CreditCardRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: CreditCardRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: UsBankRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: UsLicenseRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: UsItinRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: UsPassportRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: UsSsnRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: NhsRecognizer
2026-08-08 13:35:05 | INFO     | req=60b6f237 | presidio-analyzer | Loaded recognizer: UkNinoRecognizer
